,monthly_income,monthly_outcome,total_credit_payments,payments_per_year,loan_term,loan_amount,_will_pay,worst_previous_delinquency,worst_previous_fraction,_is_account_recent,_is_common_type,ratio_outcome_income,sqrt_income,sqrt_outcome,log_income,log_outcome
510,23603,25063,60.0,12,5.0,90567.0,1,0.0,0.0,0,0,0.9417467980688664,153.6326788154135,158.3129811481042,10.069129101578879,10.129147933974613
559,7143,12,26.0,52,0.5,7857.0,1,0.0,0.0,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
560,7143,12,39.0,52,0.75,12304.5,1,0.0,0.0,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
561,7143,12,39.0,52,0.75,3042.0,1,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
562,7143,12,53.0,52,1.0192307692307692,3180.0,1,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
563,7143,12,39.0,52,0.75,15730.0,1,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
564,7143,12,65.0,52,1.25,6110.0,1,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
565,7143,12,37.0,12,3.083333333333333,371342.09090909094,0,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
573,7143,12,1.0,24,0.04166666666666666,1250.0,1,1893.0,0.15384615384615385,1,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
574,7143,12,1.0,12,0.08333333333333333,395.66666666666674,0,1893.0,0.15384615384615385,1,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
575,7143,12,39.0,52,0.75,15750.0,1,1893.0,0.15384615384615385,0,0,595.25,84.51627062288065,3.4641016151377544,8.873888135154973,2.4849066497880004
588,59475,46927,72.0,24,3.0,11808.0,1,0.0,0.0,1,0,1.2673940375476804,243.87496796514398,216.62640651591855,10.993311335171159,10.756348481750502
595,59475,46927,19.0,24,0.7916666666666666,73700.0,1,0.0,0.0,1,0,1.2673940375476804,243.87496796514398,216.62640651591855,10.993311335171159,10.756348481750502
599,59475,46927,36.0,12,3.0,79464.0,1,0.0,0.0,0,0,1.2673940375476804,243.87496796514398,216.62640651591855,10.993311335171159,10.756348481750502
638,40153,65502,12.0,26,0.4615384615384616,6000.0,1,0.0,0.0,1,0,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
639,40153,65502,12.0,26,0.4615384615384616,9000.0,1,0.0,0.0,1,0,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
640,40153,65502,12.0,12,1.0,30000.0,1,0.0,0.0,1,0,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
641,40153,65502,12.0,12,1.0,131.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
642,40153,65502,12.0,12,1.0,226.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
643,40153,65502,12.0,12,1.0,447.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
644,40153,65502,12.0,12,1.0,6384.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
645,40153,65502,12.0,12,1.0,211.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
646,40153,65502,12.0,12,1.0,170.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
647,40153,65502,12.0,12,1.0,5196.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
648,40153,65502,12.0,12,1.0,7380.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
649,40153,65502,12.0,12,1.0,408.0,1,0.0,0.0,1,1,0.6130041830783793,200.38213493223392,255.93358513489392,10.60045243638427,11.089835955508324
